sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2000264,2002,7.2,8,6.83,-1,4.75,7.75,8,-1,-1,-1,7.6
2000265,2002,8.2,8,7.42,-1,7,7.25,8,-1,-1,-1,8.4
2000266,2002,9,6.5,-1,6.08,-1,-1,-1,5.25,5.25,7.75,6
2000267,2002,7.6,7.25,5.42,-1,3.25,6.25,6.75,-1,-1,-1,8.4
2000268,2002,8.6,6.75,-1,6.58,-1,-1,-1,5.25,6.5,8,8.6
2000269,2002,7.4,4.25,-1,6.75,-1,-1,-1,7.25,4.5,8.5,5.8
2000270,2002,8.2,8,6.83,-1,5.5,7.75,7.25,-1,-1,-1,6.2
2000271,2002,8.2,8.25,-1,6.83,-1,-1,-1,6.75,6.5,7.25,6
2000272,2002,8,8,-1,5.58,-1,-1,-1,4.5,6.5,5.75,8.2
2000273,2002,8,7.5,-1,5,-1,-1,-1,4.75,5.25,5,7.6
2000274,2002,7.6,8.25,7.92,-1,6.75,8.25,8.75,-1,-1,-1,9.6
2000275,2002,8.2,6.5,-1,6.25,-1,-1,-1,5,7.5,6.25,8.6
2000276,2002,6.4,7.25,-1,6.08,-1,-1,-1,6,7.75,4.5,5.6
2000277,2002,8.8,7.5,-1,4.58,-1,-1,-1,4.25,5.75,3.75,8
2000278,2002,8,7,-1,6.92,-1,-1,-1,6.25,7.5,7,6.4
2000279,2002,9.6,6.75,-1,7.92,-1,-1,-1,6.25,8.75,8.75,7.8
2000280,2002,7.4,7.25,-1,6,-1,-1,-1,5.5,6.5,6,4.8
2000281,2002,8.2,7.5,7.25,-1,5.5,7.5,8.75,-1,-1,-1,5.4
2000282,2002,8.4,7.5,6.67,-1,5,6.75,8.25,-1,-1,-1,7.8
2000283,2002,8.6,7.75,-1,7.42,-1,-1,-1,6.75,8.75,6.75,8.8
2000284,2002,7.8,7,-1,6.75,-1,-1,-1,7.5,6.5,6.25,6.8
2000285,2002,8,8,-1,6.92,-1,-1,-1,6.25,6,8.5,7.6
2000286,2002,6,4.25,6.17,-1,3.75,6.25,8.5,-1,-1,-1,4.8
2000287,2002,6.4,7.75,6.83,-1,5.75,6.5,8.25,-1,-1,-1,7.2
2000288,2002,8.6,8.25,-1,7.17,-1,-1,-1,5.75,8.25,7.5,8.6
2000289,2002,7.6,6.5,-1,5.25,-1,-1,-1,4.25,5.5,6,4.8
2000290,2002,8.2,8.5,-1,6,-1,-1,-1,6,7.5,4.5,8.8
2000291,2002,7.2,7.25,-1,5.92,-1,-1,-1,5,5,7.75,5.4
2000292,2002,8.6,5.75,-1,5.75,-1,-1,-1,5.5,5.75,6,9.4
2000293,2002,8.2,6.5,-1,6,-1,-1,-1,4.75,6.75,6.5,4.8
2000294,2002,7.6,5.5,6.5,-1,4.25,7,8.25,-1,-1,-1,4.2
2000295,2002,7.4,7.5,-1,6.92,-1,-1,-1,5.75,7.25,7.75,7.2
2000296,2002,8,8.25,-1,5.25,-1,-1,-1,5.5,6.5,3.75,8.2
2000297,2002,6.4,5.5,5.92,-1,4.25,6.5,7,-1,-1,-1,5.6
2000298,2002,8,7.25,-1,5.92,-1,-1,-1,6.25,6,5.5,5.6
2000299,2002,6,6.75,8.17,-1,7.25,8.25,9,-1,-1,-1,6.2
2000300,2002,6.6,6.5,-1,4.83,-1,-1,-1,5.5,4,5,5.6
2000301,2002,8.2,5.5,-1,6.25,-1,-1,-1,5.25,7.25,6.25,8.6
2000302,2002,7.4,6.5,-1,7.58,-1,-1,-1,7.25,7.5,8,5.8
2000303,2002,7.6,7.5,-1,5.17,-1,-1,-1,4.5,5,6,-1
2000304,2002,7.8,5.5,-1,6.17,-1,-1,-1,4.5,6.5,7.5,5
2000305,2002,8.4,8.5,-1,6.83,-1,-1,-1,5.25,7,8.25,8.6
2000306,2002,8.6,6,-1,6.67,-1,-1,-1,5.5,7.5,7,5.4
2000307,2002,6.8,6,-1,5.83,-1,-1,-1,5.5,5.75,6.25,6.8
2000308,2002,9,6.75,-1,5.08,-1,-1,-1,4,7.5,3.75,8.4
2000309,2002,7.2,7.5,-1,6.5,-1,-1,-1,6,5.75,7.75,8.8
2000310,2002,7.4,5,-1,6.25,-1,-1,-1,7,5,6.75,5
2000311,2002,8.8,5.75,-1,5.58,-1,-1,-1,3.25,7.75,5.75,6.6
2000312,2002,8.8,6.5,-1,6.33,-1,-1,-1,5.75,8.5,4.75,8.4
